Albireh:0,0,21,15,0,0,0,0,52,36,0,0,37,24,34,9,0,0,0,0,0,0,0,0,0,0,0,0,15,10,0,0,0,0,0,0,0,0,0,0
jerusalem:21,15,0,0,9,7,0,0,0,0,0,0,38,25,0,0,49,36,64,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,35,0,0
bethlahem:0,0,9,7,0,0,26,24,0,0,0,0,0,0,0,0,54,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hebron:0,0,0,0,26,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nablus:52,36,0,0,0,0,0,0,0,0,40,30,0,0,20,14,0,0,0,0,0,0,0,0,0,0,0,0,43,27,37,32,0,0,27,24,31,26,0,0
jenin:0,0,0,0,0,0,0,0,40,30,0,0,0,0,0,0,0,0,0,0,80,70,0,0,0,0,0,0,0,0,17,14,0,0,0,0,0,0,58,54
jericho:37,24,38,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
salfit:34,9,0,0,0,0,0,0,20,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,28,0,0,0,0,29,26,22,18,0,0
ramla:0,0,49,36,54,40,0,0,0,0,0,0,0,0,0,0,0,0,20,15,0,0,0,0,75,60,0,0,0,0,0,0,30,23,0,0,21,16,0,0
yafo:0,0,64,43,0,0,0,0,0,0,0,0,0,0,0,0,20,15,0,0,71,66,0,0,0,0,0,0,0,0,0,0,51,47,0,0,35,24,0,0
haifa:0,0,0,0,0,0,0,0,0,0,80,70,0,0,0,0,0,0,71,66,0,0,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,16
acre:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,21
beersabee:0,0,0,0,0,0,60,50,0,0,0,0,0,0,0,0,75,60,0,0,0,0,0,0,0,0,35,29,0,0,0,0,30,24,0,0,0,0,0,0
gaza:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,29,0,0,0,0,0,0,26,23,0,0,0,0,0,0
birzeit:15,10,0,0,0,0,0,0,43,27,0,0,0,0,32,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tobas:0,0,0,0,0,0,0,0,37,32,17,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ashdod:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,23,51,47,0,0,0,0,30,24,26,23,0,0,0,0,0,0,0,0,0,0,0,0
tolkarm:0,0,0,0,0,0,0,0,27,24,0,0,0,0,29,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,0,0
qalqiliah:0,0,55,35,0,0,0,0,31,26,0,0,0,0,22,18,21,16,35,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,0,0,0,0
alnasra:0,0,0,0,0,0,0,0,0,0,58,54,0,0,0,0,0,0,0,0,22,16,27,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
